city,moreInfoVal,moreInfoVar,name,rating,reviews,street
Binghamton,NA,NA,Galaxy Brewing Co,NA,NA,"41 Court St, 153 & 157"
West Park,NA,NA,Great Life Brewing,NA,NA,
Dobbs Ferry,NA,NA,Ferrari Beer Company,NA,NA,160 Ashford Ave
Long Island City,NA,NA,Fifth Hammer Brewing Company,NA,NA,10-28 46th Ave
Staten Island,NA,NA,"Flagship Brewery, LLC.",NA,NA,40 Minthorne St
Farmingdale,NA,NA,Flying Belgian Brewery,NA,NA,211 Main St
Munnsville,NA,NA,Foothill Hops Farm Brewery,NA,NA,5024 Bear Path Rd
Clay,NA,NA,Freight Yard Brewing LLC,NA,NA,4975 State Route 31
Riverhead,NA,NA,Garden of Eve Farm Brewery,NA,NA,4558 Sound Ave
Buffalo,NA,NA,Gene McCarthy's/Old First Ward Brewing Company,NA,NA,73 Hamburg St
Rochester,NA,NA,Genesee Brew House / North American Breweries,NA,NA,25 Cataract St
New Paltz,NA,NA,Gilded Otter Brewing Co,NA,NA,3 Main St
Schenectady,NA,NA,Great Flats Brewing,NA,NA,151 Lafayette St
Bay Shore,NA,NA,Great South Bay Brewery,NA,NA,25 Drexel Dr
Mechanicville,NA,NA,Hank Hudson Brewing At Fairways of Halfmoon,NA,NA,17 Johnson Rd
Jamesville,NA,NA,Hill Country Farm Brewery,NA,NA,
Buffalo,NA,NA,Hofbrauhaus Buffalo,NA,NA,
Altamont,NA,NA,Indian Ladder Farmstead Brewery and Cidery,NA,NA,342 Altamont Rd
Jamestown,NA,NA,Jamestown Brewing Company,NA,NA,
Kingston,NA,NA,Kingston Standard Brewing Co.,NA,NA,
Northport,NA,NA,Harbor Head Brewing Co,NA,NA,81 Fort Salonga Rd
New York,NA,NA,Harlem Brewing Co,NA,NA,2 W 123rd St
East Berne,NA,NA,Helderberg Mountain Brewing Company,NA,NA,83 Main St
Highland,NA,NA,Hudson Ale Works,NA,NA,17 Milton Ave
Brooklyn,NA,NA,Island To Island Brewery,NA,NA,642 Rogers Ave
Brooklyn,NA,NA,KelSo Beer Company,NA,NA,529 Waverly Ave
Staten Island,NA,NA,Kills Boro Brewing Company,NA,NA,62 Van Duzer St
Queensbury,NA,NA,Lake George Beer Hub,NA,NA,1043 State Route 9
Manlius,NA,NA,Limestone Creek Brewing Company,NA,NA,
Canandaigua,NA,NA,Lincoln Hill Farm,NA,NA,
Brooklyn,NA,NA,Lineup Brewing LLC,NA,NA,33 35th St Unit 6A
Hector,NA,NA,"Lucky Hare Brewing Company, Inc.",NA,NA,6085 Beckhorn Road
Weedsport,NA,NA,Lunkenheimer Craft Brewing Co. LLC,NA,NA,"PO Box 539 8920 N Seneca St,"
Syracuse,NA,NA,Middle Ages Brewing Co Ltd,NA,NA,120 Wilkinson St Ste 3
Cold Spring,NA,NA,Midriver Brewery,NA,NA,
